,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Base is based on NREL Conservative Load Forecast,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,, Generation by Fuel | GWh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Onshore Wind  ,, 123.0 , 123.0 , 123.0 , 123.0 , 123.0 , 123.0 , 123.0 , 287.0 , 287.0 , 287.0 , 287.0 , 287.0 , 287.0 , 287.0 , 287.0 , 287.0 , 268.0 , 287.0 , 287.0 , 287.0 , 287.0 , 287.0 , 287.0 , 287.0 , 287.0 , 287.0 , 287.0 , 287.0 , 287.0 ,,,,
,,Offshore Wind  ,, - , - , - , - , - , - , - , - , - , 80.0 , 160.0 , 240.0 , 320.0 , 400.0 , 400.0 , 400.0 , 400.0 , 400.0 , 400.0 , 400.0 , 400.0 , 400.0 , 400.0 , 400.0 , 400.0 , 400.0 , 400.0 , 400.0 , 400.0 ,,,,
,,Biomass  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Refuse  ,, 68.5 , 68.5 , 68.5 , 68.5 , 68.5 , 68.5 , 68.5 , 68.5 , 68.5 , 68.5 , 68.5 , 68.5 , 68.5 , 68.5 , 68.5 , 68.5 , 68.5 , 68.5 , 68.5 , 68.5 , 68.5 , 68.5 , 68.5 , 68.5 , 68.5 , 68.5 , 68.5 , 68.5 , 68.5 ,,,,
,,Hydro ,, - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - ,,,,
,,Geothermal ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Battery,, - , 141.3 , 141.3 , 141.3 , 141.3 , 141.3 , 141.3 , 455.3 , 868.3 , 903.3 , 938.3 , 973.3 ," 1,008.3 "," 1,043.3 "," 1,078.3 "," 1,113.3 "," 1,148.3 "," 1,183.3 "," 1,218.3 "," 1,253.3 "," 1,288.3 "," 1,323.3 "," 1,358.3 "," 1,393.3 "," 1,428.3 "," 1,463.3 "," 1,498.3 "," 1,533.3 "," 1,568.3 ",,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Firm,," 1,541.9 "," 1,541.9 "," 1,448.3 "," 1,448.3 "," 1,448.3 "," 1,340.2 "," 1,340.2 "," 1,231.0 "," 1,086.9 "," 1,357.9 "," 1,416.8 "," 1,251.8 "," 1,251.8 "," 1,253.4 "," 1,275.8 "," 1,373.0 "," 1,373.0 "," 1,409.5 "," 1,449.8 "," 1,499.0 "," 1,571.6 "," 1,591.0 "," 1,628.3 "," 1,622.1 "," 1,653.2 "," 1,656.9 "," 1,688.0 "," 1,726.3 "," 1,734.6 ",,,,
,,Intermittent,," 1,004.3 "," 1,180.6 "," 1,369.7 "," 1,430.3 "," 1,476.1 "," 1,699.3 "," 1,872.9 "," 2,164.7 "," 2,292.3 "," 2,406.4 "," 2,519.2 "," 2,618.2 "," 2,727.0 "," 2,854.6 "," 2,902.3 "," 3,012.7 "," 3,105.5 "," 3,207.7 "," 3,357.3 "," 3,352.9 "," 3,460.0 "," 3,566.2 "," 3,654.6 "," 3,755.7 "," 3,859.5 "," 3,962.5 "," 4,068.3 "," 4,166.8 "," 4,268.2 ",,,,
