scenario,period,tech,energy_gwh,capacity_mw,emissions_tco2
nlv2a_C5_LNG375_lowbrent,2045,Oil,351.81,848.0,0.0
nlv2a_C5_LNG375_lowbrent,2045,Utility solar,5315.04,2508.8,0.0
nlv2a_C5_LNG375_lowbrent,2045,Waste-to-energy,374.93,86.0,0.0
nlv2a_C5_LNG375_lowbrent,2050,Battery storage,-337.36,1180.8,0.0
nlv2a_C5_LNG375_lowbrent,2050,Distributed solar (modeled),0.0,0.0,0.0
nlv2a_C5_LNG375_lowbrent,2050,Geothermal (EGS),815.56,100.0,0.0
nlv2a_C5_LNG375_lowbrent,2050,Offshore wind,0.0,0.0,0.0
nlv2a_C5_LNG375_lowbrent,2050,Onshore wind,485.7,150.0,0.0
nlv2a_C5_LNG375_lowbrent,2050,Oil,204.05,542.4,0.0
nlv2a_C5_LNG375_lowbrent,2050,Utility solar,5937.85,2819.6,0.0
nlv2a_C5_LNG375_lowbrent,2050,Waste-to-energy,374.93,86.0,0.0
nlv2a_C5_LNG375_lowbrent,2027,Distributed solar (netted),1277.11,800.2,0
nlv2a_C5_LNG375_lowbrent,2030,Distributed solar (netted),1556.11,975.0,0
nlv2a_C5_LNG375_lowbrent,2035,Distributed solar (netted),1944.27,1218.2,0
nlv2a_C5_LNG375_lowbrent,2040,Distributed solar (netted),2283.92,1431.0,0
nlv2a_C5_LNG375_lowbrent,2045,Distributed solar (netted),2581.1,1617.2,0
nlv2a_C5_LNG375_lowbrent,2050,Distributed solar (netted),2829.77,1773.0,0
nlv2a_C5_LNG375_refbrent,2027,Battery storage,-58.17,380.5,0.0
nlv2a_C5_LNG375_refbrent,2027,Distributed solar (modeled),0.0,674.0,0.0
nlv2a_C5_LNG375_refbrent,2027,Geothermal (EGS),815.56,100.0,0.0
nlv2a_C5_LNG375_refbrent,2027,Offshore wind,0.0,0.0,0.0
nlv2a_C5_LNG375_refbrent,2027,Onshore wind,290.08,150.0,0.0
nlv2a_C5_LNG375_refbrent,2027,Oil,3799.82,1361.7,2728213.0
nlv2a_C5_LNG375_refbrent,2027,Utility solar,1569.96,610.2,0.0
nlv2a_C5_LNG375_refbrent,2027,Waste-to-energy,374.93,86.0,0.0
nlv2a_C5_LNG375_refbrent,2030,Battery storage,-63.27,393.0,0.0
nlv2a_C5_LNG375_refbrent,2030,Distributed solar (modeled),0.0,674.0,0.0
nlv2a_C5_LNG375_refbrent,2030,Geothermal (EGS),815.56,100.0,0.0
nlv2a_C5_LNG375_refbrent,2030,Offshore wind,0.0,0.0,0.0
nlv2a_C5_LNG375_refbrent,2030,Onshore wind,286.4,150.0,0.0
nlv2a_C5_LNG375_refbrent,2030,Oil,1252.55,1581.1,567564.0
nlv2a_C5_LNG375_refbrent,2030,LNG,2371.41,0,1074548.0
nlv2a_C5_LNG375_refbrent,2030,Utility solar,1556.92,610.2,0.0
nlv2a_C5_LNG375_refbrent,2030,Waste-to-energy,374.93,86.0,0.0
nlv2a_C5_LNG375_refbrent,2035,Battery storage,-123.11,640.5,0.0
nlv2a_C5_LNG375_refbrent,2035,Distributed solar (modeled),0.0,674.0,0.0
nlv2a_C5_LNG375_refbrent,2035,Geothermal (EGS),815.56,100.0,0.0
nlv2a_C5_LNG375_refbrent,2035,Offshore wind,0.0,0.0,0.0
nlv2a_C5_LNG375_refbrent,2035,Onshore wind,280.17,150.0,0.0
nlv2a_C5_LNG375_refbrent,2035,Oil,981.58,1425.1,449979.0
nlv2a_C5_LNG375_refbrent,2035,LNG,1489.65,0,682893.0
nlv2a_C5_LNG375_refbrent,2035,Utility solar,2525.93,1021.0,0.0
nlv2a_C5_LNG375_refbrent,2035,Waste-to-energy,374.93,86.0,0.0
nlv2a_C5_LNG375_refbrent,2040,Battery storage,-174.51,592.3,0.0
nlv2a_C5_LNG375_refbrent,2040,Distributed solar (modeled),0.0,674.0,0.0
nlv2a_C5_LNG375_refbrent,2040,Geothermal (EGS),815.56,100.0,0.0
nlv2a_C5_LNG375_refbrent,2040,Offshore wind,0.0,0.0,0.0
nlv2a_C5_LNG375_refbrent,2040,Onshore wind,276.24,150.0,0.0
nlv2a_C5_LNG375_refbrent,2040,Oil,967.75,1255.8,459979.0
nlv2a_C5_LNG375_refbrent,2040,LNG,1082.18,0,514369.0
nlv2a_C5_LNG375_refbrent,2040,Utility solar,3311.44,1412.5,0.0
nlv2a_C5_LNG375_refbrent,2040,Waste-to-energy,374.93,86.0,0.0
nlv2a_C5_LNG375_refbrent,2045,Battery storage,-331.46,1129.2,0.0
nlv2a_C5_LNG375_refbrent,2045,Distributed solar (modeled),0.0,391.0,0.0
nlv2a_C5_LNG375_refbrent,2045,Geothermal (EGS),815.56,100.0,0.0
nlv2a_C5_LNG375_refbrent,2045,Offshore wind,0.0,0.0,0.0
nlv2a_C5_LNG375_refbrent,2045,Onshore wind,438.23,150.0,0.0
nlv2a_C5_LNG375_refbrent,2045,Oil,147.37,848.0,0.0
nlv2a_C5_LNG375_refbrent,2045,Utility solar,5607.79,2694.8,0.0
nlv2a_C5_LNG375_refbrent,2045,Waste-to-energy,374.93,86.0,0.0
nlv2a_C5_LNG375_refbrent,2050,Battery storage,-356.63,1200.5,0.0
nlv2a_C5_LNG375_refbrent,2050,Distributed solar (modeled),0.0,0.0,0.0
nlv2a_C5_LNG375_refbrent,2050,Geothermal (EGS),815.56,100.0,0.0
nlv2a_C5_LNG375_refbrent,2050,Offshore wind,0.0,0.0,0.0
nlv2a_C5_LNG375_refbrent,2050,Onshore wind,468.36,150.0,0.0
nlv2a_C5_LNG375_refbrent,2050,Oil,89.21,542.4,0.0
nlv2a_C5_LNG375_refbrent,2050,Utility solar,6156.72,3003.8,0.0
nlv2a_C5_LNG375_refbrent,2050,Waste-to-energy,374.93,86.0,0.0
nlv2a_C5_LNG375_refbrent,2027,Distributed solar (netted),1277.11,800.2,0
nlv2a_C5_LNG375_refbrent,2030,Distributed solar (netted),1556.11,975.0,0
nlv2a_C5_LNG375_refbrent,2035,Distributed solar (netted),1944.27,1218.2,0
nlv2a_C5_LNG375_refbrent,2040,Distributed solar (netted),2283.92,1431.0,0
nlv2a_C5_LNG375_refbrent,2045,Distributed solar (netted),2581.1,1617.2,0
nlv2a_C5_LNG375_refbrent,2050,Distributed solar (netted),2829.77,1773.0,0
nlv2b_C1_LSFO250_futbrent,2027,Battery storage,-57.76,368.3,0.0
nlv2b_C1_LSFO250_futbrent,2027,Distributed solar (modeled),0.0,674.0,0.0
nlv2b_C1_LSFO250_futbrent,2027,Geothermal (EGS),815.56,100.0,0.0
nlv2b_C1_LSFO250_futbrent,2027,Offshore wind,0.0,0.0,0.0
nlv2b_C1_LSFO250_futbrent,2027,Onshore wind,289.31,150.0,0.0
nlv2b_C1_LSFO250_futbrent,2027,Oil,3775.35,1361.7,2736498.0
nlv2b_C1_LSFO250_futbrent,2027,Utility solar,1678.96,654.7,0.0
nlv2b_C1_LSFO250_futbrent,2027,Waste-to-energy,374.93,86.0,0.0
