scenario,period,cost_real_musd_yr,demand_gwh_yr,cost_per_mwh
nlv2b_C5_LNG375_highbrent,2035,1610.21,6940.2,232.01
nlv2b_C5_LNG375_highbrent,2040,1608.04,7080.0,227.12
nlv2b_C5_LNG375_highbrent,2045,1296.83,7218.2,179.66
nlv2b_C5_LNG375_highbrent,2050,1160.76,7391.2,157.05
nlv2b_C5_LNG375_highbrent_adv,2027,1564.08,6776.1,230.82
nlv2b_C5_LNG375_highbrent_adv,2030,1585.9,6856.2,231.31
nlv2b_C5_LNG375_highbrent_adv,2035,1601.46,6940.2,230.75
nlv2b_C5_LNG375_highbrent_adv,2040,1586.64,7080.0,224.1
nlv2b_C5_LNG375_highbrent_adv,2045,1206.89,7218.2,167.2
nlv2b_C5_LNG375_highbrent_adv,2050,1030.54,7391.2,139.43
nlv2b_C5_LNG375_highbrent_j120,2027,1543.43,6776.1,227.78
nlv2b_C5_LNG375_highbrent_j120,2030,1611.63,6856.2,235.06
nlv2b_C5_LNG375_highbrent_j120,2035,1641.02,6940.2,236.45
nlv2b_C5_LNG375_highbrent_j120,2040,1638.95,7080.0,231.49
nlv2b_C5_LNG375_highbrent_j120,2045,1296.98,7218.2,179.68
nlv2b_C5_LNG375_highbrent_j120,2050,1160.79,7391.2,157.05
nlv2b_C5_LNG375_highbrent_j120_adv,2027,1557.62,6776.1,229.87
nlv2b_C5_LNG375_highbrent_j120_adv,2030,1620.0,6856.2,236.28
nlv2b_C5_LNG375_highbrent_j120_adv,2035,1634.77,6940.2,235.55
nlv2b_C5_LNG375_highbrent_j120_adv,2040,1618.15,7080.0,228.55
nlv2b_C5_LNG375_highbrent_j120_adv,2045,1206.26,7218.2,167.11
nlv2b_C5_LNG375_highbrent_j120_adv,2050,1032.67,7391.2,139.72
nlv2b_C5_LNG375_lowbrent,2027,1219.14,6776.1,179.92
nlv2b_C5_LNG375_lowbrent,2030,1135.35,6856.2,165.59
nlv2b_C5_LNG375_lowbrent,2035,1104.41,6940.2,159.13
nlv2b_C5_LNG375_lowbrent,2040,1270.96,7080.0,179.51
nlv2b_C5_LNG375_lowbrent,2045,1270.51,7218.2,176.01
nlv2b_C5_LNG375_lowbrent,2050,1132.4,7391.2,153.21
nlv2b_C5_LNG375_lowbrent_adv,2027,1212.08,6776.1,178.88
nlv2b_C5_LNG375_lowbrent_adv,2030,1112.53,6856.2,162.27
nlv2b_C5_LNG375_lowbrent_adv,2035,1075.05,6940.2,154.9
nlv2b_C5_LNG375_lowbrent_adv,2040,1210.79,7080.0,171.02
