GENERATION_PROJECT,timepoint,gen_max_capacity_factor
Oahu_CentralTrackingPV_Constrained_C_PV_01,3507092208,0.8788711
Oahu_CentralTrackingPV_Constrained_C_PV_01,3507092210,0.99103004
Oahu_CentralTrackingPV_Constrained_C_PV_01,3507092212,0.8507497
Oahu_CentralTrackingPV_Constrained_C_PV_01,3507092214,0.8660235
Oahu_CentralTrackingPV_Constrained_C_PV_01,3507092216,0.87207294
Oahu_CentralTrackingPV_Constrained_C_PV_01,3507092218,0.0
Oahu_CentralTrackingPV_Constrained_C_PV_01,3507092220,0.0
Oahu_CentralTrackingPV_Constrained_C_PV_01,3507092222,0.0
Oahu_CentralTrackingPV_Constrained_C_PV_01,3507102700,0.0
Oahu_CentralTrackingPV_Constrained_C_PV_01,3507102702,0.0
