GENERATION_PROJECT,build_year,gen_overnight_cost,gen_storage_energy_overnight_cost,gen_fixed_om
Oahu_SlopedDistPV_Oahu_SlopedDistPV_14,2019,7582373.268175,.,0.000000
Oahu_SlopedDistPV_Oahu_SlopedDistPV_14,2020,7582373.268175,.,0.000000
Oahu_SlopedDistPV_Oahu_SlopedDistPV_14,2045,2346009.764289,.,17974.972251
Oahu_SlopedDistPV_Oahu_SlopedDistPV_15,2013,7582373.268175,.,0.000000
Oahu_SlopedDistPV_Oahu_SlopedDistPV_15,2014,7582373.268175,.,0.000000
Oahu_SlopedDistPV_Oahu_SlopedDistPV_15,2015,7582373.268175,.,0.000000
Oahu_SlopedDistPV_Oahu_SlopedDistPV_15,2016,7582373.268175,.,0.000000
Oahu_SlopedDistPV_Oahu_SlopedDistPV_15,2017,7582373.268175,.,0.000000
Oahu_SlopedDistPV_Oahu_SlopedDistPV_15,2018,7582373.268175,.,0.000000
Oahu_SlopedDistPV_Oahu_SlopedDistPV_15,2019,7582373.268175,.,0.000000
Oahu_SlopedDistPV_Oahu_SlopedDistPV_15,2020,7582373.268175,.,0.000000
Oahu_SlopedDistPV_Oahu_SlopedDistPV_15,2045,2346009.764289,.,17974.972251
Oahu_SlopedDistPV_Oahu_SlopedDistPV_2,2013,7582373.268175,.,0.000000
Oahu_SlopedDistPV_Oahu_SlopedDistPV_2,2014,7582373.268175,.,0.000000
Oahu_SlopedDistPV_Oahu_SlopedDistPV_2,2015,7582373.268175,.,0.000000
Oahu_SlopedDistPV_Oahu_SlopedDistPV_2,2016,7582373.268175,.,0.000000
Oahu_SlopedDistPV_Oahu_SlopedDistPV_2,2017,7582373.268175,.,0.000000
Oahu_SlopedDistPV_Oahu_SlopedDistPV_2,2018,7582373.268175,.,0.000000
Oahu_SlopedDistPV_Oahu_SlopedDistPV_2,2019,7582373.268175,.,0.000000
Oahu_SlopedDistPV_Oahu_SlopedDistPV_2,2020,7582373.268175,.,0.000000
Oahu_SlopedDistPV_Oahu_SlopedDistPV_2,2045,2346009.764289,.,17974.972251
Oahu_SlopedDistPV_Oahu_SlopedDistPV_3,2013,7582373.268175,.,0.000000
Oahu_SlopedDistPV_Oahu_SlopedDistPV_3,2014,7582373.268175,.,0.000000
Oahu_SlopedDistPV_Oahu_SlopedDistPV_3,2015,7582373.268175,.,0.000000
Oahu_SlopedDistPV_Oahu_SlopedDistPV_3,2016,7582373.268175,.,0.000000
