date,load_day,pv_mw,batt_mwh,year,quarter,ghi_midday,temp_day,season,t_years,lowsun,lowsun_x_pv,yearF,era
2018-07-04,725.6810119628906,489.95464294965967,45.63402670137329,2018,3,862.1529914529914,26.383084045584052,3,-0.5010266940450947,0,0.0,2018,2017-20
2018-07-05,829.3570129394532,490.00772086258814,45.65487795375163,2018,3,891.7675213675213,26.407905982905977,3,-0.5010266940450947,0,0.0,2018,2017-20
2018-07-06,830.0970092773438,490.03909601230805,45.66704118430567,2018,3,854.8170940170942,26.39983974358975,3,-0.5010266940450947,0,0.0,2018,2017-20
2018-07-07,789.6919921875,490.03909601230805,45.66704118430567,2018,3,593.4512820512821,26.240669515669527,3,-0.5010266940450947,0,0.0,2018,2017-20
2018-07-08,719.6300109863281,490.03909601230805,45.66704118430567,2018,3,693.8837606837607,26.082532051282048,3,-0.5010266940450947,0,0.0,2018,2017-20
2018-07-09,832.1749877929688,490.1018463117479,45.691367645413735,2018,3,831.7675213675213,26.231641737891735,3,-0.5010266940450947,0,0.0,2018,2017-20
2018-07-10,852.7929992675781,490.28882778000144,45.73307015017043,2018,3,792.3897435897436,26.542183048433046,3,-0.5010266940450947,0,0.0,2018,2017-20
2018-07-11,830.2049926757812,490.35545054082877,45.75392140254877,2018,3,734.7444444444444,26.22241809116809,3,-0.5010266940450947,0,0.0,2018,2017-20
2018-07-12,819.9220031738281,490.43164733300574,45.783460676751425,2018,3,795.834188034188,26.223949430199426,3,-0.5010266940450947,0,0.0,2018,2017-20
2018-07-13,845.9749877929687,490.4648304955228,45.79562390730546,2018,3,731.3393162393162,26.29987535612535,3,-0.5010266940450947,0,0.0,2018,2017-20
2018-07-14,790.40400390625,490.4648304955228,45.79562390730546,2018,3,771.6564102564103,26.575462962962963,3,-0.5010266940450947,0,0.0,2018,2017-20
2018-07-15,808.8909912109375,490.4648304955228,45.79562390730546,2018,3,647.3239316239317,26.94001068376069,3,-0.5010266940450947,0,0.0,2018,2017-20
2018-07-16,875.2480163574219,490.5142649344779,45.81473755531895,2018,3,896.2017094017094,26.98883547008548,3,-0.5010266940450947,0,0.0,2018,2017-20
2018-07-17,920.2740112304688,490.5725330696721,45.837326412062154,2018,3,688.1931623931624,26.696474358974356,3,-0.5010266940450947,0,0.0,2018,2017-20
2018-07-18,949.5820190429688,490.62631904062056,45.8581776644405,2018,3,589.6871794871795,26.63057336182335,3,-0.5010266940450947,1,490.62631904062056,2018,2017-20
2018-07-19,875.3699890136719,490.70251583279753,45.88771693864315,2018,3,749.8376068376068,26.5767272079772,3,-0.5010266940450947,0,0.0,2018,2017-20
2018-07-20,832.6609802246094,490.7895881501363,45.91378100411608,2018,3,856.1059829059828,26.48415242165242,3,-0.5010266940450947,0,0.0,2018,2017-20
2018-07-21,721.9340087890625,490.7895881501363,45.91378100411608,2018,3,877.0,26.316648860398857,3,-0.5010266940450947,0,0.0,2018,2017-20
2018-07-22,748.3050048828125,490.7895881501363,45.91378100411608,2018,3,776.1735042735042,26.304772079772068,3,-0.5010266940450947,0,0.0,2018,2017-20
2018-07-23,910.6860107421875,490.89634719772914,45.955483508872774,2018,3,753.9299145299145,27.024198717948718,3,-0.5010266940450947,0,0.0,2018,2017-20
2018-07-24,890.9390014648437,490.9635796614147,45.981547574345704,2018,3,718.4555555555555,26.635790598290598,3,-0.5010266940450947,0,0.0,2018,2017-20
2018-07-25,860.9739929199219,491.0648562156668,46.01803726600781,2018,3,774.2470085470086,26.259205840455845,3,-0.5010266940450947,0,0.0,2018,2017-20
2018-07-26,901.4010009765625,491.10967785812386,46.035413309656434,2018,3,690.2675213675213,26.917770655270658,3,-0.5010266940450947,0,0.0,2018,2017-20
2018-07-27,888.8840026855469,491.13208867935236,46.044101331480746,2018,3,849.2794871794871,27.03543447293448,3,-0.5010266940450947,0,0.0,2018,2017-20
2018-07-28,773.8860046386719,491.13208867935236,46.044101331480746,2018,3,828.7282051282051,26.850516381766393,3,-0.5010266940450947,0,0.0,2018,2017-20
2018-07-29,743.6520263671875,491.13208867935236,46.044101331480746,2018,3,840.7606837606838,26.983101851851842,3,-0.5010266940450947,0,0.0,2018,2017-20
2018-07-30,905.72001953125,491.24508996387925,46.06495258385909,2018,3,682.0290598290599,27.149946581196577,3,-0.5010266940450947,0,0.0,2018,2017-20
2018-07-31,935.9890075683594,491.27198294935346,46.075378210048264,2018,3,699.2478632478633,27.239280626780623,3,-0.5010266940450947,0,0.0,2018,2017-20
2018-08-01,913.0469848632813,491.34817974153043,46.10491748425092,2018,3,658.882905982906,27.079629629629625,3,-0.5010266940450947,0,0.0,2018,2017-20
2018-08-02,882.0850036621093,491.4378230264445,46.13966957154816,2018,3,730.9179487179488,26.751406695156692,3,-0.5010266940450947,0,0.0,2018,2017-20
2018-08-03,836.9640075683594,491.7489644122931,46.17789686757513,2018,3,761.5803418803418,26.49444444444445,3,-0.5010266940450947,0,0.0,2018,2017-20
2018-08-04,772.360986328125,491.7489644122931,46.17789686757513,2018,3,757.1743589743589,26.443482905982894,3,-0.5010266940450947,0,0.0,2018,2017-20
2018-08-05,767.0110046386719,491.7489644122931,46.17789686757513,2018,3,647.697435897436,26.739440883190884,3,-0.5010266940450947,0,0.0,2018,2017-20
2018-08-06,845.1089965820313,491.8161968759787,46.20396093304806,2018,3,800.4598290598291,26.90443376068376,3,-0.5010266940450947,0,0.0,2018,2017-20
2018-08-07,846.3360046386719,491.89687583240135,46.235237811615576,2018,3,719.6333333333333,26.827724358974354,3,-0.5010266940450947,0,0.0,2018,2017-20
2018-08-08,847.3049926757812,491.9641082960869,46.261301877088506,2018,3,697.3854700854702,26.353080484330494,3,-0.5010266940450947,0,0.0,2018,2017-20
2018-08-09,960.0719787597657,492.0134121027897,46.28041552510199,2018,3,541.3128205128205,26.74223646723647,3,-0.5010266940450947,1,492.0134121027897,2018,2017-20
2018-08-10,925.0929809570313,492.2096173394106,46.3030043818452,2018,3,659.2726495726496,26.839458689458684,3,-0.5010266940450947,0,0.0,2018,2017-20
2018-08-11,808.306005859375,492.2096173394106,46.3030043818452,2018,3,808.7957264957265,26.697097578347577,3,-0.5010266940450947,0,0.0,2018,2017-20
2018-08-12,761.8060119628906,492.2140995036563,46.30474198621006,2018,3,874.905982905983,27.098593304843302,3,-0.5010266940450947,0,0.0,2018,2017-20
2018-08-13,868.6440124511719,492.2634033103591,46.32385563422355,2018,3,821.842735042735,26.99111467236467,3,-0.5010266940450947,0,0.0,2018,2017-20
2018-08-14,854.7660034179687,492.32615360979895,46.348182095331616,2018,3,857.1495726495726,26.828240740740743,3,-0.5010266940450947,0,0.0,2018,2017-20
2018-08-15,853.5150207519531,492.3754574165017,46.3672957433451,2018,3,845.9512820512821,26.745423789173785,3,-0.5010266940450947,0,0.0,2018,2017-20
2018-08-16,885.8609985351562,492.4382077159416,46.39162220445317,2018,3,869.4230769230769,27.165117521367517,3,-0.5010266940450947,0,0.0,2018,2017-20
2018-08-17,888.1809997558594,492.4606185371701,46.40031022627748,2018,3,878.151282051282,27.717646011396013,3,-0.5010266940450947,0,0.0,2018,2017-20
2018-08-18,873.7419982910156,492.4695828656615,46.40378543500721,2018,3,738.9230769230769,27.735024928774934,3,-0.5010266940450947,0,0.0,2018,2017-20
2018-08-19,858.318017578125,492.4695828656615,46.40378543500721,2018,3,713.8735042735043,27.91043447293447,3,-0.5010266940450947,0,0.0,2018,2017-20
2018-08-20,912.7710144042969,492.54129749359277,46.431587104845,2018,3,781.723076923077,27.459846866096868,3,-0.5010266940450947,0,0.0,2018,2017-20
2018-08-21,868.4469970703125,492.59508346454123,46.45243835722334,2018,3,842.8042735042734,27.22127849002848,3,-0.5010266940450947,0,0.0,2018,2017-20
2018-08-22,864.8780029296875,492.6667980924725,46.480240027061136,2018,3,771.2213675213676,27.106054131054133,3,-0.5010266940450947,0,0.0,2018,2017-20
2018-08-23,942.2789794921875,492.6802445852096,46.48545284015572,2018,3,379.14102564102564,27.085541310541302,3,-0.5010266940450947,1,492.6802445852096,2018,2017-20
2018-08-24,794.0720031738281,492.6847267494553,46.487190444520586,2018,3,431.3666666666667,27.252510683760686,3,-0.5010266940450947,1,492.6847267494553,2018,2017-20
2018-08-25,806.2329772949219,492.6847267494553,46.487190444520586,2018,3,416.81025641025644,26.672311253561247,3,-0.5010266940450947,1,492.6847267494553,2018,2017-20
2018-08-26,777.243994140625,492.6847267494553,46.487190444520586,2018,3,588.9085470085471,26.89971509971511,3,-0.5010266940450947,1,492.6847267494553,2018,2017-20
2018-08-27,932.9669921875,493.62433671337254,46.52541774054755,2018,3,523.3760683760684,27.089494301994304,3,-0.5010266940450947,1,493.62433671337254,2018,2017-20
2018-08-28,910.1729919433594,493.6997206112455,46.55495701475021,2018,3,649.9965811965812,27.05286680911681,3,-0.5010266940450947,0,0.0,2018,2017-20
2018-08-29,855.51298828125,494.369822957561,46.57754587149341,2018,3,793.6897435897436,26.978685897435895,3,-0.5010266940450947,0,0.0,2018,2017-20
